Incident_Type,Report_taken_date_EST,Year,Data Type,Subject_Race,Subject_Sex,Subject_Ethnicity,Block Address,Incident Location District,Incident Location PSA,Age
Stop & Frisk,1/1/2017,2017,Person,White,Male,Not Hispanic Or Latino,1200 BLOCK OF 18TH STREET NW,2D,208,21
Stop & Frisk,1/1/2017,2017,Person,Unknown,Male,Not Hispanic Or Latino,4600 BLOCK OF G STREET SE,6D,607,Unknown
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,4600 BLOCK OF G STREET SE,6D,607,Unknown
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1300 BLOCK OF WISCONSIN AVENUE NW,2D,206,26
Stop & Frisk,1/1/2017,2017,Person,White,Male,Not Hispanic Or Latino,1900 BLOCK OF 9 1/2 STREET NW,3D,305,37
Stop & Frisk,1/1/2017,2017,Person,Black,Female,Unknown,1800 BLOCK OF BELMONT ROAD NW,3D,303,46
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,2000 BLOCK OF COLUMBIA ROAD NW,3D,303,21
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,2000 BLOCK OF COLUMBIA ROAD NW,3D,303,Unknown
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1400 BLOCK OF I STREET NW,2D,207,26
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1400 BLOCK OF I STREET NW,2D,207,27
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,700 BLOCK OF DECATUR STREET NE,4D,405,18
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,300 BLOCK OF 53RD STREET NE,6D,608,18
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1600 BLOCK OF P STREET NW,2D,208,19
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1600 BLOCK OF P STREET NW,2D,208,20
Stop & Frisk,1/1/2017,2017,Person,Black,Female,Not Hispanic Or Latino,900 BLOCK OF EASTERN AVENUE NE,6D,608,26
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1000 BLOCK OF BLADENSBURG ROAD NE,5D,506,29
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,800 BLOCK OF BLADENSBURG ROAD NE,5D,506,21
Stop & Frisk,1/1/2017,2017,Person,White,Male,Hispanic Or Latino,2400 BLOCK OF 4TH STREET NE,5D,502,29
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1500 BLOCK OF INDEPENDENCE AVENUE SE,1D,108,35
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,6100 BLOCK OF DIX STREET NE,6D,608,28
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2600 BLOCK OF BENNING ROAD NE,5D,507,18
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2600 BLOCK OF BENNING ROAD NE,5D,507,Juvenile
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1300 BLOCK OF PERRY PLACE NW,4D,409,31
Stop & Frisk,1/2/2017,2017,Person,Black,Female,Unknown,1400 BLOCK OF SPRING ROAD NW,4D,409,51
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Unknown,1400 BLOCK OF SPRING ROAD NW,4D,409,58
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Unknown,1900 BLOCK OF BENNETT PLACE NE,5D,506,22
Stop & Frisk,1/2/2017,2017,Person,Black,Female,Not Hispanic Or Latino,1900 BLOCK OF BENNETT PLACE NE,5D,506,25
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1900 BLOCK OF BENNETT PLACE NE,5D,506,26
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1200 BLOCK OF U STREET NW,3D,305,27
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2500 BLOCK OF BENNING ROAD NE,5D,507,23
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1100 BLOCK OF SOUTH CAPITOL STREET SW,1D,105,24
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Not Hispanic Or Latino,4000 BLOCK OF EAST CAPITOL STREET NE,6D,604,27
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Not Hispanic Or Latino,4000 BLOCK OF EAST CAPITOL STREET NE,6D,604,27
Stop & Frisk,1/2/2017,2017,Person,Black,Male,Unknown,4000 BLOCK OF EAST CAPITOL STREET NE,6D,604,28
Stop & Frisk,1/3/2017,2017,Person,Black,Male,Unknown,1600 BLOCK OF E STREET NE,5D,507,36
Stop & Frisk,1/3/2017,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF F STREET NW,1D,102,20
Stop & Frisk,1/3/2017,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF F STREET NW,1D,102,Juvenile
Stop & Frisk,1/3/2017,2017,,,,,1100 BLOCK OF CONNECT,2D,202,
Stop & Frisk,1/4/2017,2017,Person,Black,Male,Unknown,2600 BLOCK OF WOODLEY ROAD NW,2D,204,44
Stop & Frisk,1/4/2017,2017,Person,Black,Male,Not Hispanic Or Latino,4600 BLOCK OF BENNING ROAD SE,6D,604,27
Stop & Frisk,1/4/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF IRVING STREET NW,3D,302,28
Stop & Frisk,1/4/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2300 BLOCK OF PENNSYLVANIA AVENUE SE,6D,606,Unknown
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,3200 BLOCK OF 23RD STREET SE,7D,702,19
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3200 BLOCK OF 23RD STREET SE,7D,702,Juvenile
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3200 BLOCK OF 23RD STREET SE,7D,702,Juvenile
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,700 BLOCK OF CONGRESS STREET SE,7D,705,37
Stop & Frisk,1/5/2017,2017,Person,Black,Female,Unknown,1300 BLOCK OF CONGRESS STREET SE,7D,705,41
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2700 BLOCK OF LANGSTON PLACE SE,7D,702,22
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,3100 BLOCK OF 14TH STREET NW,3D,302,22
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,3100 BLOCK OF 14TH STREET NW,3D,302,23
Stop & Frisk,1/5/2017,2017,Person,Unknown,Unknown,Unknown,1800 BLOCK OF OTIS STREET NE,5D,504,Unknown
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,19
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,19
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,20
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/2017,2017,Person,Unknown,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Unknown
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2300 BLOCK OF 16TH STREET SE,7D,701,18
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3400 BLOCK OF WHEELER ROAD SE,7D,705,Juvenile
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,2500 BLOCK OF BENNING ROAD NE,5D,507,34
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,28
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,35
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,40
Stop & Frisk,1/5/2017,2017,Person,Unknown,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,40
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,49
Stop & Frisk,1/5/2017,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,Unknown
Stop & Frisk,1/5/2017,2017,Person,Unknown,Male,Unknown,3700 BLOCK OF S STREET NW,2D,206,55
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,1100 BLOCK OF EASTERN AVENUE NE,6D,608,23
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,1100 BLOCK OF EASTERN AVENUE NE,6D,608,24
Stop & Frisk,1/5/2017,2017,Person,Unknown,Male,Unknown,1100 BLOCK OF EASTERN AVENUE NE,6D,608,29
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,600 BLOCK OF 7TH STREET NW,1D,102,20
Stop & Frisk,1/5/2017,2017,Person,Black,Male,Unknown,600 BLOCK OF 7TH STREET NW,1D,102,38
Stop & Frisk,1/6/2017,2017,Person,White,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,19
Stop & Frisk,1/6/2017,2017,Person,White,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,19
Stop & Frisk,1/6/2017,2017,Person,White,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,Juvenile
Stop & Frisk,1/6/2017,2017,Person,Unknown,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,Juvenile
Stop & Frisk,1/6/2017,2017,Person,Black,Male,Unknown,UNIT BLOCK OF HAWAII AVENUE NE,4D,405,41
Stop & Frisk,1/6/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3000 BLOCK OF 24TH PLACE SE,7D,702,31
Stop & Frisk,1/6/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3500 BLOCK OF GEORGIA AVENUE NW,4D,409,37
Stop & Frisk,1/6/2017,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF K STREET NW,1D,102,18
Stop & Frisk,1/6/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1100 BLOCK OF 34TH STREET NW,2D,206,19
Stop & Frisk,1/7/2017,2017,Person,Black,Female,Not Hispanic Or Latino,2200 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,701,24
Stop & Frisk,1/7/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF NORTH CAPITOL STREET NW,5D,501,20
Stop & Frisk,1/7/2017,2017,Person,Black,Male,Unknown,1400 BLOCK OF NORTH CAPITOL STREET NW,5D,501,43
Stop & Frisk,1/7/2017,2017,Person,Black,Male,Not Hispanic Or Latino,5100 BLOCK OF FITCH STREET SE,6D,604,23
Stop & Frisk,1/7/2017,2017,Person,Unknown,Unknown,Unknown,2600 BLOCK OF FIRTH STERLING AVENUE SE,7D,703,Unknown
Stop & Frisk,1/8/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1700 BLOCK OF HOLBROOK STREET NE,5D,506,48
Stop & Frisk,1/9/2017,2017,Person,Black,Male,Unknown,5100 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6D,602,Unknown
Stop & Frisk,1/9/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF PENNSYLVANIA AVENUE NW,2D,206,24
Stop & Frisk,1/9/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF PENNSYLVANIA AVENUE NW,2D,206,26
Stop & Frisk,1/10/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,705,21
Stop & Frisk,1/10/2017,2017,Person,Black,Male,Not Hispanic Or Latino,300 BLOCK OF BRYANT STREET NW,3D,306,Juvenile
Stop & Frisk,1/10/2017,2017,Person,Black,Male,Unknown,5000 BLOCK OF CENTRAL AVENUE SE,6D,604,20
Stop & Frisk,1/10/2017,2017,Person,Black,Male,Unknown,5000 BLOCK OF CENTRAL AVENUE SE,6D,604,Juvenile
Stop & Frisk,1/10/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1000 BLOCK OF 4TH STREET NW,1D,102,Juvenile
Stop & Frisk,1/10/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2100 BLOCK OF ALABAMA AVENUE SE,7D,704,27
Stop & Frisk,1/11/2017,2017,Person,Black,Male,Not Hispanic Or Latino,900 BLOCK OF EASTERN AVENUE NE,6D,601,30
Stop & Frisk,1/11/2017,2017,Person,White,Male,Hispanic Or Latino,4300 BLOCK OF 13TH STREET NW,4D,404,18
Stop & Frisk,1/11/2017,2017,Person,White,Male,Hispanic Or Latino,4300 BLOCK OF 13TH STREET NW,4D,404,19
Stop & Frisk,1/11/2017,2017,Person,White,Male,Hispanic Or Latino,4300 BLOCK OF 13TH STREET NW,4D,404,Unknown
Stop & Frisk,1/11/2017,2017,Person,Black,Female,Not Hispanic Or Latino,3100 BLOCK OF PENNSYLVANIA AVENUE SE,6D,605,26
Stop & Frisk,1/11/2017,2017,Person,Black,Female,Unknown,3100 BLOCK OF PENNSYLVANIA AVENUE SE,6D,605,35
Stop & Frisk,1/11/2017,2017,Person,Black,Male,Not Hispanic Or Latino,4100 BLOCK OF MINNESOTA AVENUE NE,6D,604,18
Stop & Frisk,1/11/2017,2017,Person,Black,Male,Unknown,600 BLOCK OF F STREET NW,1D,102,40
Stop & Frisk,1/11/2017,2017,Person,Black,Male,Unknown,600 BLOCK OF F STREET NW,1D,102,41
Stop & Frisk,1/11/2017,2017,Person,Black,Female,Not Hispanic Or Latino,900 BLOCK OF PERRY PLACE NE,4D,405,23
Stop & Frisk,1/12/2017,2017,Person,Black,Female,Not Hispanic Or Latino,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,33
Stop & Frisk,1/12/2017,2017,Person,Black,Male,Unknown,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,42
Stop & Frisk,1/12/2017,2017,Person,Unknown,Male,Unknown,400 BLOCK OF SOUTHERN AVENUE SE,7D,708,31
Stop & Frisk,1/12/2017,2017,Person,Black,Male,Not Hispanic Or Latino,400 BLOCK OF SOUTHERN AVENUE SE,7D,708,Juvenile
Stop & Frisk,1/12/2017,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF PENNSYLVANIA AVENUE SE,1D,107,33
Stop & Frisk,1/12/2017,2017,Person,Unknown,Unknown,Unknown,300 BLOCK OF 40TH STREET NE,6D,603,Unknown
Stop & Frisk,1/12/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2500 BLOCK OF 14TH STREET NE,5D,505,41
Stop & Frisk,1/12/2017,2017,Person,White,Male,Unknown,800 BLOCK OF BLADENSBURG ROAD NE,5D,506,48
Stop & Frisk,1/12/2017,2017,Person,Black,Male,Unknown,1600 BLOCK OF MONTANA AVENUE NE,5D,505,Unknown
Stop & Frisk,1/12/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3000 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,705,Juvenile
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Unknown,3500 BLOCK OF 14TH STREET NW,4D,409,56
Stop & Frisk,1/13/2017,2017,Person,White,Male,Unknown,2300 BLOCK OF Q STREET SE,6D,605,50
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF W STREET SE,7D,707,24
Stop & Frisk,1/13/2017,2017,Person,Unknown,Male,Not Hispanic Or Latino,1200 BLOCK OF CONNECTICUT AVENUE NW,2D,208,21
Stop & Frisk,1/13/2017,2017,Person,Unknown,Unknown,Unknown,4200 BLOCK OF 4TH STREET SE,7D,706,Unknown
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Unknown,4000 BLOCK OF 7TH STREET NE,4D,406,40
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Unknown,5300 BLOCK OF BASS PLACE SE,6D,604,26
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3800 BLOCK OF ALABAMA AVENUE SE,6D,605,36
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Unknown,2300 BLOCK OF GREEN STREET SE,7D,701,Juvenile
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Not Hispanic Or Latino,500 BLOCK OF 12TH STREET NW,1D,101,47
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Unknown,1200 BLOCK OF 16TH STREET NE,5D,506,33
Stop & Frisk,1/13/2017,2017,Person,Asian,Male,Not Hispanic Or Latino,2300 BLOCK OF 18TH STREET NW,3D,303,63
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Unknown,5100 BLOCK OF LEE STREET NE,6D,602,52
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF SAVANNAH STREET SE,7D,705,19
Stop & Frisk,1/13/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF SAVANNAH STREET SE,7D,705,20
Stop & Frisk,1/14/2017,2017,Person,Native Hawaiian Or Other Pacific Islander,Male,Hispanic Or Latino,800 BLOCK OF 14TH STREET NW,1D,101,23
Stop & Frisk,1/14/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1300 BLOCK OF L STREET NW,3D,307,30
Stop & Frisk,1/14/2017,2017,Person,Black,Male,Not Hispanic Or Latino,5100 BLOCK OF SARGENT ROAD NE,4D,405,51
Stop & Frisk,1/14/2017,2017,,,,,600 BLOCK OF ROCK CREEK CHURCH ROAD NW,4D,409,
Stop & Frisk,1/14/2017,2017,,,,,2400 BLOCK OF ALABAMA AVENUE SE,7D,702,
Stop & Frisk,1/14/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3400 BLOCK OF STANTON ROAD SE,7D,704,23
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Unknown,1500 BLOCK OF ISHERWOOD STREET NE,5D,507,31
Stop & Frisk,1/15/2017,2017,Person,White,Male,Hispanic Or Latino,1200 BLOCK OF CONNECTICUT AVENUE NW,2D,208,22
Stop & Frisk,1/15/2017,2017,Person,Unknown,Male,Not Hispanic Or Latino,1200 BLOCK OF CONNECTICUT AVENUE NW,2D,208,27
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3900 BLOCK OF ARGYLE TERRACE NW,4D,404,28
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1900 BLOCK OF 11TH STREET NW,3D,305,23
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1700 BLOCK OF WEST VIRGINIA AVENUE NE,5D,505,24
Stop & Frisk,1/15/2017,2017,Person,White,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,21
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,22
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Unknown,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,22
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,22
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,23
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,25
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,900 BLOCK OF HAMILTON STREET NW,4D,403,29
Stop & Frisk,1/15/2017,2017,Person,Black,Female,Not Hispanic Or Latino,900 BLOCK OF HAMILTON STREET NW,4D,403,56
Stop & Frisk,1/15/2017,2017,Person,Black,Female,Unknown,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,37
Stop & Frisk,1/15/2017,2017,Person,Black,Female,Not Hispanic Or Latino,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,38
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,UNIT BLOCK OF BURNS STREET NE,6D,604,33
Stop & Frisk,1/15/2017,2017,Person,White,Male,Not Hispanic Or Latino,3100 BLOCK OF SOUTH STREET NW,2D,206,45
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,700 BLOCK OF 7TH STREET NW,1D,102,60
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2900 BLOCK OF 14TH STREET NW,3D,302,36
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Unknown,5200 BLOCK OF BANKS PLACE NE,6D,608,24
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Not Hispanic Or Latino,5200 BLOCK OF BANKS PLACE NE,6D,608,29
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Unknown,5200 BLOCK OF BANKS PLACE NE,6D,608,48
Stop & Frisk,1/15/2017,2017,Person,Black,Male,Unknown,2800 BLOCK OF 28TH STREET SE,7D,702,32
Stop & Frisk,1/16/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF 18TH STREET NW,3D,303,27
Stop & Frisk,1/16/2017,2017,Person,Black,Female,Unknown,100 BLOCK OF NEW YORK AVENUE NW,5D,506,25
Stop & Frisk,1/16/2017,2017,Person,Black,Female,Unknown,100 BLOCK OF NEW YORK AVENUE NW,5D,506,25
Stop & Frisk,1/16/2017,2017,Person,Black,Male,Unknown,100 BLOCK OF NEW YORK AVENUE NW,5D,506,28
Stop & Frisk,1/16/2017,2017,,,,,7800 BLOCK OF BLAIR ROAD NW,4D,401,
Stop & Frisk,1/16/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1600 BLOCK OF GOOD HOPE ROAD SE,7D,702,56
Stop & Frisk,1/17/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3800 BLOCK OF 9TH STREET SE,7D,708,18
Stop & Frisk,1/17/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3800 BLOCK OF 9TH STREET SE,7D,708,22
Stop & Frisk,1/17/2017,2017,Person,Unknown,Male,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,18
Stop & Frisk,1/17/2017,2017,Person,White,Male,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,18
Stop & Frisk,1/17/2017,2017,Person,Unknown,Male,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,18
Stop & Frisk,1/17/2017,2017,Person,Unknown,Female,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,Juvenile
Stop & Frisk,1/17/2017,2017,Person,White,Male,Unknown,1700 BLOCK OF COLUMBIA ROAD NW,3D,303,65
Stop & Frisk,1/17/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3700 BLOCK OF MINNESOTA AVENUE NE,6D,603,25
Stop & Frisk,1/18/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF ALABAMA AVENUE SE,7D,703,26
Stop & Frisk,1/18/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF IRVING STREET NW,4D,408,23
Stop & Frisk,1/18/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF IRVING STREET NW,4D,408,25
Stop & Frisk,1/18/2017,2017,Person,Black,Male,Unknown,1100 BLOCK OF QUEEN STREET NE,5D,506,Juvenile
Stop & Frisk,1/18/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF U STREET NW,3D,301,19
Stop & Frisk,1/18/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF U STREET NW,3D,301,22
Stop & Frisk,1/18/2017,2017,Person,Black,Female,Not Hispanic Or Latino,1300 BLOCK OF MORRIS ROAD SE,7D,703,26
Stop & Frisk,1/19/2017,2017,Person,White,Male,Not Hispanic Or Latino,1200 BLOCK OF 18TH STREET NW,2D,208,22
Stop & Frisk,1/19/2017,2017,Person,Black,Male,Unknown,1200 BLOCK OF SOUTHERN AVENUE SE,7D,701,Juvenile
Stop & Frisk,1/19/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1700 BLOCK OF CHURCH STREET NW,2D,208,60
Stop & Frisk,1/19/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2700 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,44
Stop & Frisk,1/19/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3500 BLOCK OF 14TH STREET NW,4D,409,28
Stop & Frisk,1/20/2017,2017,Person,Black,Female,Unknown,500 BLOCK OF INDIANA AVENUE NW,1D,102,32
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,2600 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,18
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2600 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,18
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1100 BLOCK OF 13TH STREET NW,3D,307,41
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,3700 BLOCK OF RESERVOIR ROAD NW,2D,206,Juvenile
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,3700 BLOCK OF RESERVOIR ROAD NW,2D,206,Juvenile
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,3700 BLOCK OF RESERVOIR ROAD NW,2D,206,Juvenile
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,3700 BLOCK OF RESERVOIR ROAD NW,2D,206,Juvenile
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,3700 BLOCK OF RESERVOIR ROAD NW,2D,206,Unknown
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,3700 BLOCK OF RESERVOIR ROAD NW,2D,206,Unknown
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Unknown,600 BLOCK OF INDIANA AVENUE NW,1D,102,47
Stop & Frisk,1/20/2017,2017,Person,Black,Male,Not Hispanic Or Latino,2800 BLOCK OF Q STREET SE,6D,607,60
Stop & Frisk,1/21/2017,2017,Person,Black,Male,Not Hispanic Or Latino,3900 BLOCK OF BLAINE STREET NE,6D,603,20
Stop & Frisk,1/21/2017,2017,Person,Black,Male,Unknown,2400 BLOCK OF ALABAMA AVENUE SE,7D,703,37
Stop & Frisk,1/21/2017,2017,,,,,2800 BLOCK OF 12TH STREET NE,5D,505,
